O*NET-SOC Code,Title,Originality,Problem Sensitivity,Inductive Reasoning,Innovation,Analytical Thinking,Critical Thinking,Active Learning,Complex Problem Solving,"Judging the Qualities of Things, Services, or People",Making Decisions and Solving Problems,Updating and Using Relevant Knowledge,Developing Objectives and Strategies
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",3.38,4,3.88,4.12,3.88,4,3.75,3.25,3.28,4.46,4.62,4.48
29-1123.00,Physical Therapists,3.38,4.25,4.38,3.84,4.53,3.88,3.38,3.38,3.89,4.81,5.08,3.65
29-1124.00,Radiation Therapists,2.62,3.88,3.25,3.69,4.11,3.75,3,3,4.56,5.25,5.72,2.75
29-1125.00,Recreational Therapists,3.88,4,4,4.42,3.88,4,3.38,3.5,3.54,4.46,4.96,4.04
29-1125.01,Art Therapists,3.75,4.12,3.88,3.86,3.52,4.12,3.88,3.5,3.62,4.33,4.67,3.9
29-1125.02,Music Therapists,3.88,4.12,3.88,4.2,3.89,4,3.5,3.38,3.36,4.43,4.57,3.73
29-1126.00,Respiratory Therapists,3,4,3.88,3.82,4.45,4,3.62,3.12,3.83,4.83,5.6,3.32
29-1127.00,Speech-Language Pathologists,4,4.25,4.25,3.72,3.95,4,4,3.75,3.25,4.61,5,4.45
29-1128.00,Exercise Physiologists,3.62,4.38,4.5,3.57,3.79,4,3.75,3.5,3.57,4.58,5.38,3.79
29-1131.00,Veterinarians,3.12,5.12,4.75,3.44,4.34,4.25,4,3.38,3.68,5.61,5.76,3.39
29-1141.00,Registered Nurses,3.12,5,4.88,3.72,4.3,4,3.75,3.25,4.18,4.9,5.44,2.99
29-1141.01,Acute Care Nurses,3,4.75,4,3.5,4.11,4,3.88,3.75,3.48,5.48,5.15,3.63
29-1141.02,Advanced Practice Psychiatric Nurses,3.25,4.75,4.25,4,4.48,4,4,3.38,4.86,5.72,6,4.52
29-1141.03,Critical Care Nurses,3.25,4.88,4,3.65,4.5,4,4,3.38,3.4,5.05,5.05,2.89
29-1141.04,Clinical Nurse Specialists,3.38,4.38,4,4.19,4.15,4.12,4,3.5,5.04,5.54,6.19,4.84
29-1151.00,Nurse Anesthetists,3.12,5,4.12,3.93,4.65,4,3.62,4,3.69,6.23,5.73,3.55
29-1161.00,Nurse Midwives,3,5,4.12,3.14,4.31,4.25,4.12,3.62,4.08,5.7,5.76,3.86
29-1171.00,Nurse Practitioners,3.25,5.12,4.88,3.6,4.47,4.38,4.12,4,4.2,5.43,6,3.52
29-1181.00,Audiologists,3.25,5,4.75,2.87,3.83,4.25,4.38,3.75,3.37,4.66,5.77,3.07
29-1199.01,Acupuncturists,2.88,4,4.25,3.79,3.95,3.88,3.5,3.25,3.48,4.59,4.29,3.31
29-1199.04,Naturopathic Physicians,3.5,5.25,5.25,3.62,4.33,4.38,4.38,3.88,3.38,5.33,5.48,3.65
29-1199.05,Orthoptists,3,4.88,4.62,3.55,4.2,4,3.88,3.88,2.7,5.15,5.3,2.63
29-2011.00,Medical and Clinical Laboratory Technologists,2.88,4.12,4,3.06,4.57,4,3.88,3.38,4.16,4.68,5.16,2.81
29-2011.01,Cytogenetic Technologists,2.62,4.12,4.12,2.8,3.96,3.62,3.38,3.25,3.5,4.4,5.04,2.27
29-2011.02,Cytotechnologists,2.25,4.12,3.88,2.62,4,3.62,3.5,3.12,3.58,4.81,5.04,2.19
29-2011.03,Histotechnologists and Histologic Technicians,2.12,3.88,3,3.35,3.88,3.25,3,3.12,3.12,4.15,4.72,2.55
29-2012.00,Medical and Clinical Laboratory Technicians,2.88,3.75,3.12,3.26,4.43,3.38,3.12,3,3.4,5.3,5.57,3.25
29-2021.00,Dental Hygienists,2.38,4,3.5,3.27,3.3,3.38,3.12,3,3.31,4.1,5.41,3.19
29-2031.00,Cardiovascular Technologists and Technicians,2.62,4.12,3.88,3.3,3.88,3.75,3.38,3.12,3.39,3.99,4.69,2.75
29-2032.00,Diagnostic Medical Sonographers,2.88,3.5,3.38,3.64,4.04,3.5,3.12,3,3.09,4.51,5.54,2.79
29-2033.00,Nuclear Medicine Technologists,2.75,3.88,3.5,3.57,4.06,3.62,3.12,3,3.39,3.92,5.16,2.53
29-2034.00,Radiologic Technologists,2.75,4,3.38,3.62,3.64,3.62,3,2.88,3.37,4.41,5.61,2.91
29-2035.00,Magnetic Resonance Imaging Technologists,3,3.25,3.62,3.52,3.78,3.62,3,3.12,3.38,4.31,5.08,2.69
29-2041.00,Emergency Medical Technicians and Paramedics,3,4.12,4,3.7,4.18,4,4,3.25,3.65,5.06,5.49,3.06
29-2051.00,Dietetic Technicians,3,3.12,3.12,2.99,3,3.25,3,3,4.37,3.58,3.93,2.92
29-2052.00,Pharmacy Technicians,2.12,3.12,3,3.1,3.36,3.62,3,2.62,2.33,3.61,4.59,2.05
29-2053.00,Psychiatric Technicians,3,4,3.88,3.31,3.54,3.88,3.25,3.25,3.65,4.58,5.14,3.56
29-2054.00,Respiratory Therapy Technicians,2.88,4,3.75,3.63,3.83,3.62,3.62,2.88,4.52,5.54,5.7,4.3
29-2055.00,Surgical Technologists,2.5,3.75,3.12,3.75,3.82,3.12,3,3,4.23,4.39,5.01,3.13
29-2056.00,Veterinary Technologists and Technicians,2.88,4,3.88,3.45,3.55,3.88,3.12,3,2.71,3.85,5.17,2.07
29-2057.00,Ophthalmic Medical Technicians,2.12,3.5,3.25,3.22,3.83,3.12,3,2.62,2.78,4.43,5.35,2.48
29-2061.00,Licensed Practical and Licensed Vocational Nurses,2.88,4,3.75,3.73,4.16,4,3.12,3.12,3.72,4.84,5.5,3.58
29-2071.00,Medical Records and Health Information Technicians,2.5,2.88,2.88,3.47,3.9,2.88,2.5,2.62,2.14,3.34,5.02,1.38
29-2081.00,"Opticians, Dispensing",2.75,3,3.12,3.69,3.96,3.62,2.88,2.88,4.04,4.48,5.15,2.89
29-2091.00,Orthotists and Prosthetists,3.5,4,4,4.03,4.28,4,4.12,3.88,4.12,4.91,5.36,3.64
29-2092.00,Hearing Aid Specialists,2.75,3.38,3.38,3.92,4.15,3.75,3.38,3.25,3.81,5.1,5.92,4.21
29-2099.01,Neurodiagnostic Technologists,2.88,4,3.88,3.38,4.18,3.88,3.38,3,3.71,4.62,5.29,3.06
29-2099.05,Ophthalmic Medical Technologists,2.5,3.75,3.62,2.89,3.44,3.75,3,2.75,2.48,4,5,2.67
29-2099.06,Radiologic Technicians,2.88,3.62,3.25,3.78,3.67,3.12,3.12,2.88,3.22,3.45,5.07,2.42
29-2099.07,Surgical Assistants,2.88,3.88,3.62,3.68,4.1,3.5,3.12,3.12,4.51,5.25,5.49,3.15
29-9011.00,Occupational Health and Safety Specialists,3.12,4.62,4,3.45,4.42,4,4,3.75,4.12,4.94,5.3,4
29-9012.00,Occupational Health and Safety Technicians,3,3.88,3.75,3.27,3.96,3.88,3.25,3.25,3.81,4.42,4.81,3.23
29-9091.00,Athletic Trainers,3.25,4.5,4.38,3.75,4.23,4,4,3.38,4.16,5.2,5.14,3.51
29-9092.00,Genetic Counselors,3.12,4,4.62,3,4.13,4.12,3.88,3.75,3.52,4.7,6.04,2.91
29-9099.01,Midwives,3.12,5.12,4.38,3.88,4.22,4.12,3.38,3.25,4.57,6.13,5.7,4.06
31-1011.00,Home Health Aides,2.88,3.5,3.12,3.29,3.33,3.25,3,3,3.03,3.74,4.16,2.32
31-1013.00,Psychiatric Aides,2.75,4,3.12,3.8,3.76,3.25,3,3,3.45,3.59,3.8,2.43
31-1014.00,Nursing Assistants,2.25,3.38,2.88,3.83,3.81,3,2.5,2.38,3.13,3.41,3.34,2.43
31-1015.00,Orderlies,2,2.75,2.5,2.77,2.89,2.12,1.88,1.62,2.86,2.85,3.23,1.6
31-2011.00,Occupational Therapy Assistants,3,4,3.38,3.82,3.78,3.25,3,3.12,3.72,4.18,5.27,3.16
31-2012.00,Occupational Therapy Aides,2.75,3.5,3.12,3.65,3.57,3.5,3,3,3.65,4.21,4.63,2.58
31-2021.00,Physical Therapist Assistants,2.88,3.75,3.38,3.75,3.91,3.62,3.12,3,3.56,3.5,4.04,2.76
31-2022.00,Physical Therapist Aides,2,3,3,3.38,3.43,2.88,2.75,2.75,2.81,3.34,3.41,2.73
31-9011.00,Massage Therapists,2.75,3.25,3.12,3.63,3.83,3.25,3.12,2.75,2.63,4.23,4.4,3.3
31-9091.00,Dental Assistants,2.38,3.25,3.12,3.4,3.59,3.25,3,2.88,3.89,4.01,4.54,2.33
31-9092.00,Medical Assistants,2.62,3.62,3.25,3.75,4.22,3.75,3.38,3,4.41,3.72,5.08,2.96
31-9093.00,Medical Equipment Preparers,2,3.12,2.62,3.63,3.93,2.88,3,2.5,5.14,5.36,5.5,2.81
31-9094.00,Medical Transcriptionists,1.62,3,3.12,2.83,2.86,2.88,2.5,2.5,1.89,2.67,4.34,1.34
31-9095.00,Pharmacy Aides,1.5,3,2.75,2.86,3.22,2.88,2.5,2.38,5.08,4.53,5,3.15
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,2,3.75,3,3.27,3.31,3.12,3,2.38,2.98,4.12,4.4,2.57
31-9097.00,Phlebotomists,2.25,3.25,3.25,3.6,4,3.38,3,2.38,3.48,3.65,5,1.65
31-9099.01,Speech-Language Pathology Assistants,2.5,3.5,3.25,4.44,4.39,3.5,2.75,3.12,3.77,4.2,4.48,3.66
31-9099.02,Endoscopy Technicians,2,3.38,3,3.55,3.84,3.25,3,2.62,3.65,4.47,5.14,2.57
33-1011.00,First-Line Supervisors of Correctional Officers,3.25,4,3.88,3.67,3.9,4,3.12,3.12,4.13,5.13,4.52,3.53
33-1012.00,First-Line Supervisors of Police and Detectives,3.38,4,4,3.55,4.13,4.12,3.88,4,4.43,5.48,5.3,4.4
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,3.75,4.38,4,3.73,4.06,4.25,3.88,4,5.13,6.15,5.9,5.04
33-1021.02,Forest Fire Fighting and Prevention Supervisors,3.25,4.38,4.12,3.48,4.18,4,3.88,4,4.09,5.72,4.95,4.62
33-2011.01,Municipal Firefighters,3,4,3.62,3.68,3.91,3.88,3,2.88,4.26,4.81,5.29,3.67
33-2011.02,Forest Firefighters,3,4,3.5,3.69,3.96,3.62,3,3,3.91,4.12,4.29,3.55
33-2021.01,Fire Inspectors,2.88,4.5,4,3.43,3.78,4,3.75,3.62,3.74,4.07,5.08,3.67
33-2021.02,Fire Investigators,3,4.25,4.38,3.68,4.42,4.12,3.5,3.38,4.81,5.74,5.74,3.48
33-2022.00,Forest Fire Inspectors and Prevention Specialists,3.25,4,3.63,3.08,2.19,3.62,3.25,3.25,4.4,4.8,5.36,5.37
33-3011.00,Bailiffs,0.88,3.5,2.88,2.9,3.54,3,2.12,2.25,3.58,3.8,3.22,1.83
33-3012.00,Correctional Officers and Jailers,2.38,4,3.88,3.31,3.83,3.62,3,2.75,3.26,4.71,4.65,2.08
33-3021.01,Police Detectives,3.25,4.25,4.25,3.72,4,4.12,3.75,3.88,4.2,5.41,5.44,3.93
33-3021.02,Police Identification and Records Officers,2.88,3.5,4,3.61,4.17,4,3.25,3.12,4.25,5,5.7,2.67
33-3021.03,Criminal Investigators and Special Agents,3,4.25,4.12,3.69,4.08,4.12,3.62,3.88,4.58,5.18,4.81,2.92
33-3021.05,Immigration and Customs Inspectors,2.38,4.12,4,2.97,3.84,3.88,3.12,3,5.15,5.26,5.38,3.43
33-3021.06,Intelligence Analysts,3.5,4.38,4.62,4.06,4.91,4.25,3.38,3.62,4.61,5.09,5.75,4.56
33-3031.00,Fish and Game Wardens,3,4.12,4,3.74,3.68,4,3.5,3.25,3.88,5.78,5.12,4.39
33-3041.00,Parking Enforcement Workers,2.25,3.12,2.75,3.44,3.34,3,2.38,2.38,4.44,3.47,3.58,2.97
33-3051.01,Police Patrol Officers,3,4,4,3.23,3.84,4,3.12,3.25,5.05,6.04,5.51,3.82
33-3051.03,Sheriffs and Deputy Sheriffs,3,4.12,4,3.14,3.91,3.88,3.25,3.62,4.45,4.99,4.72,3.6
33-3052.00,Transit and Railroad Police,3,4,3.88,3.32,4.03,3.38,3,3,2.69,4.07,4.8,3.42
33-9011.00,Animal Control Workers,2.62,3.88,3.88,4.08,3.93,3.5,2.88,2.75,3.76,4.51,4.61,3.08
33-9021.00,Private Detectives and Investigators,3.12,4.12,4.12,3.64,4.16,4.12,3.38,3,4.27,4.35,5.11,3.39
33-9031.00,Gaming Surveillance Officers and Gaming Investigators,2.25,3.88,3.62,3.84,4.04,3.75,3,2.25,4.52,4.97,5.34,3.8
33-9032.00,Security Guards,2,3.5,3,2.59,2.59,2.88,2.5,2.25,4,4.63,4.21,2.94
33-9091.00,Crossing Guards,0.88,3.12,2.62,2.63,3.13,2.5,1.62,1.88,2.35,2.79,2.53,2.23
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2,4.12,3,2.61,3.18,3.38,2.75,2.62,2.43,3.45,2.78,1.39
33-9093.00,Transportation Security Screeners,2.38,3.88,3.5,2.5,2.63,3.5,3,2.75,2.85,3.89,4.19,2.26
33-9099.02,Retail Loss Prevention Specialists,2.75,3.62,3.5,3.68,4.17,3.62,3,2.88,4.07,5.23,4.79,3.52
35-1011.00,Chefs and Head Cooks,3.38,3.75,3.38,3.81,3.48,3.88,3.5,3,3.35,3.81,4.04,3.19
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,3,3.12,3,3.29,3.54,4,3.25,3,2.89,3.62,3.59,2.4
35-2011.00,"Cooks, Fast Food",1.62,2.75,2.38,2.48,2.36,2.25,2.12,1.75,2.86,2.71,2.81,2.08
35-2012.00,"Cooks, Institution and Cafeteria",2.62,3,2.75,3.29,3.1,3,2.75,2.75,3.41,3.2,3.23,1.78
35-2013.00,"Cooks, Private Household",3.38,3.12,3,3.88,3.33,3,3.12,2.88,2.5,2.46,3.04,1.75
35-2014.00,"Cooks, Restaurant",3,3,2.88,3.67,3.22,3,2.75,2.12,2.89,3.23,4.07,2.89
35-2015.00,"Cooks, Short Order",2.38,2.88,2.75,3.28,3.32,2.75,2.62,2.12,2.9,3.43,3.14,2.52
35-2021.00,Food Preparation Workers,2.12,2.25,2.12,2.99,3.17,2.12,2.12,2.12,3.11,3.19,3.27,2.32
35-3011.00,Bartenders,2.75,3.25,3,3.58,3.41,2.88,3,2.62,2.34,2.6,3.03,2.08
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",1.62,2.5,2,3.43,3.05,2.38,2,1.88,2.25,2.42,2.31,1.59
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",2.38,2.75,2.12,2.96,3.38,2.5,2.12,2.5,1.76,1.72,1.47,0.79
35-3022.01,Baristas,2.12,2.75,2.5,2.54,2.65,2.75,2.62,2.25,2.54,2.64,2.29,1.91
35-3031.00,Waiters and Waitresses,2.12,2.88,2.25,2.86,2.86,2.75,2.12,2.12,2.98,2.7,3.03,1.61
35-3041.00,"Food Servers, Nonrestaurant",1.75,2.5,2.38,2.86,2.8,2.12,1.75,1.62,2.42,2.33,2.2,1.26
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,1.75,2.12,2.12,2.66,2.91,2.12,1.62,1.75,3.14,2.66,3.13,2.45
35-9021.00,Dishwashers,1.88,2,2,2.33,2.46,2.12,2,2,2.79,2.85,3.04,2.71
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1.75,2.88,2.62,2.23,2.46,2.62,2.38,1.75,2.21,2.77,2.34,1.42
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,2.38,2.88,3,3.61,3.52,3.12,2.88,2.62,3.22,3.24,3.05,2.57
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3.12,3.12,3.12,3.97,3.72,3.75,3,3.25,3.87,4.61,4.38,4.13
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1.62,2.75,2.62,2.72,2.94,2.12,2,2,1.91,2.91,2.27,1.48
37-2012.00,Maids and Housekeeping Cleaners,1.5,2.25,2.38,3.29,2.74,2.12,1.25,2,2.37,2.73,2.42,2.06
37-2021.00,Pest Control Workers,2.75,3,3,3.27,3.25,3.38,2.88,3,2.16,3.82,4.09,2.52
37-3011.00,Landscaping and Groundskeeping Workers,1.88,2.88,2.5,3.05,3.2,1.88,2,2.12,2.72,3.41,3.6,1.87
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2.12,2.88,2.88,3.17,3.5,2.88,2.38,2.88,3.33,4.16,4.45,3
37-3013.00,Tree Trimmers and Pruners,2.25,3.25,3,3.1,3.49,3,2.12,2.75,3.4,4.73,4.19,3.2
39-1011.00,Gaming Supervisors,3,4,3.62,2.9,3.52,3.88,3.5,3,2.45,3.11,3.37,1.68
39-1012.00,Slot Supervisors,2.12,3.12,3,2.55,2.88,3.75,2.25,2.88,3.81,3.62,4.51,2.41
39-1021.00,First-Line Supervisors of Personal Service Workers,3.12,3.88,3.25,4.15,4.08,3.75,3,3.12,3.59,3.83,3.79,2.01
39-1021.01,Spa Managers,3.38,3.62,3.5,4.03,3.88,4,3.88,3.12,4.53,4.8,5.11,3.41
39-2011.00,Animal Trainers,3.25,4,3.25,3.79,3.77,3.38,3.12,2.75,4.04,4.99,3.99,3.61
39-2021.00,Nonfarm Animal Caretakers,1.75,3,2.62,3.61,3.34,2.75,2.12,2.38,3.05,3.48,3.37,1.62
39-3011.00,Gaming Dealers,2.25,3,3,2.35,2.74,2.88,2.5,2.38,3.45,3.41,2.95,1.81
39-3012.00,Gaming and Sports Book Writers and Runners,1.75,2.88,2.75,2.7,3.07,2.88,2.5,2.25,2.13,3.46,3.57,1.45
39-3021.00,Motion Picture Projectionists,2.13,3,2.88,2.6,2.77,2.75,2.25,2.38,2.17,3.41,2.8,1.53
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2,2.88,2.25,2.66,2.44,2.62,2.12,2.12,2.18,2.42,2.65,1.59
39-3091.00,Amusement and Recreation Attendants,1.75,3.12,2.38,2.57,2.4,2.62,1.75,1.88,3.11,3.23,3.19,1.04
39-3092.00,Costume Attendants,3.12,3,2.88,4.07,3.69,2.88,2.25,2.38,2.86,3.36,3.23,1.99
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",0.88,2.88,2.38,2.96,2.6,2.75,2,2,2.25,2.23,1.89,0.69
39-4011.00,Embalmers,2.5,3.25,3,3.67,3.94,3.38,3.12,2.88,3.68,4.61,5.06,2.38
39-4021.00,Funeral Attendants,1.5,2.62,2.5,2.79,3,2.75,1.5,2,3.97,4.47,4.1,3.31
39-4031.00,"Morticians, Undertakers, and Funeral Directors",3,3.25,3.12,3.73,3.54,3.88,3.25,3.25,3.97,4.24,4.24,3.3
39-5011.00,Barbers,2.62,2.88,2.88,3.49,3.29,2.75,2.5,2.12,3.26,3.91,3.91,2.63
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",3.12,3.12,3,3.93,3.23,3.5,3,2.88,2.31,4.09,4.87,2.35
39-5091.00,"Makeup Artists, Theatrical and Performance",3.88,3.12,3,4.22,3.65,3.25,3.25,2.75,2.38,3.86,4.91,2.73
39-5092.00,Manicurists and Pedicurists,2.12,2.5,2.25,3.04,2.76,2.5,2.25,2,2.87,1.75,2.39,1.33
39-5093.00,Shampooers,1.62,2.25,2.38,3.25,3.23,2.12,2,1.88,2.3,2.85,3.05,1.71
39-5094.00,Skincare Specialists,2.88,3,3,3.86,3.24,3,2.88,2.88,2.03,3.23,3.97,1.46
39-6011.00,Baggage Porters and Bellhops,2,2.75,2.12,2.85,2.87,2.75,2.12,2.12,3.58,3.84,3.54,2.54
39-6012.00,Concierges,3,3.5,2.75,3.77,3.4,3.62,2.75,2.75,3.9,4.16,3.87,2.47
39-7011.00,Tour Guides and Escorts,2.5,3.12,2.88,3.37,3.24,3.25,2.25,2.12,2.72,2.69,3.34,2.2
39-7012.00,Travel Guides,3.38,3.38,3.25,4.03,3.34,3.5,2.88,3.12,3.86,3.71,3.26,2.12
39-9011.00,Childcare Workers,2.88,3.38,3,3.74,3.61,3,3,2.88,2.78,3.05,3.27,2.72
39-9011.01,Nannies,3.12,4,3.12,3.52,3.65,3.25,3,3,2.14,3.14,3,1.65
39-9021.00,Personal Care Aides,1.88,3,3,3.46,3.5,3,2.75,2.38,2.41,2.89,2.61,1.21
39-9031.00,Fitness Trainers and Aerobics Instructors,3.12,2.88,2.88,3.96,3.28,3,2.88,2.75,2.08,3.08,4.56,2.84
39-9032.00,Recreation Workers,3.5,3.12,3,3.95,3.92,3.62,3.12,3,3.55,4.14,4.73,3.49
39-9041.00,Residential Advisors,3,3.62,3.12,3.51,3.37,4,3,3,4.58,5.07,4.47,3.24
41-1011.00,First-Line Supervisors of Retail Sales Workers,3.12,3.62,3,4.1,4.09,3.88,3.38,3.5,3.22,4.01,3.5,2.3
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,3.5,3.38,3.75,3.43,4.05,3.88,3.62,3.75,5.45,5.54,4.04,4.58
41-2011.00,Cashiers,2.12,2.75,2.88,3.47,3.48,2.62,2.25,2.12,2.69,2.56,3.23,1.38
41-2012.00,Gaming Change Persons and Booth Cashiers,1.62,3,2.62,2.47,2.88,2.75,2,2.25,2.78,3.13,2.84,1.46
41-2021.00,Counter and Rental Clerks,2.25,2.88,2.75,2.64,2.79,2.88,2.25,2.38,2.58,3.18,3.39,1.86
41-2022.00,Parts Salespersons,2.38,3.12,2.88,3.07,3.59,3.12,3,3,4.37,4.49,4.99,3.1
41-2031.00,Retail Salespersons,2.62,3.25,2.88,3.07,3.16,3.12,2.88,2.5,3.12,2.91,3.6,2.4
41-3011.00,Advertising Sales Agents,3.38,3.12,3.25,3.78,3.63,3.75,3.62,3.12,3,4.31,4.68,3.32
41-3021.00,Insurance Sales Agents,3,3.5,3.25,3,3.96,3.88,3.38,3.12,3.4,3.94,4.13,3.38
41-3031.01,"Sales Agents, Securities and Commodities",3.25,4.25,4,3.34,4.26,4.38,4.12,3.62,4.71,4.72,4.78,4.02
41-3031.02,"Sales Agents, Financial Services",2.88,3.62,3.5,3.95,4.24,4,3.62,3.12,3.46,4.87,4.54,3.91
41-3031.03,Securities and Commodities Traders,2.88,3.62,4.12,2.93,3.61,4.25,3.5,3.38,3.46,4.33,4.98,3.47
41-3041.00,Travel Agents,3,2.88,3,2.35,3.26,3.75,3.12,2.88,3.77,4.06,4.45,2.43
41-3099.01,Energy Brokers,2.75,3.5,3.75,3.5,4.56,4.12,3.5,3.12,3.42,4.5,5.01,3.64
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3.62,3.62,3.25,3.79,3.62,3.75,3.75,3.12,2.76,3.47,3.29,2.74
41-4011.07,Solar Sales Representatives and Assessors,3,3.38,3.38,2.96,3.41,3.75,3.38,3.12,3.79,4.68,4.72,3.23
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",3,3,3.12,3.43,3.77,4,3.12,3,3.44,3.97,4.08,3.6
41-9011.00,Demonstrators and Product Promoters,3,3,3,3.15,2.74,3,3,2.38,3.03,3.74,2.67,2.26
41-9012.00,Models,2.25,1.88,2,3.08,1.61,2,1.75,1.88,0.26,1.14,1.86,0.86
41-9021.00,Real Estate Brokers,2.62,3.5,3.12,3.9,3.69,3.88,3.75,2.88,3.43,3.94,4.85,2.89
41-9022.00,Real Estate Sales Agents,2.62,3.5,3.25,3.68,3.57,3.88,3.38,3.12,3.68,4.25,5.04,3.36
41-9031.00,Sales Engineers,3.75,3.88,4,3.73,4.26,4,3.88,3.75,4.72,4.84,4.87,4.32
41-9041.00,Telemarketers,2.38,2.63,2.75,2.68,2.92,3.38,1.5,2.25,1.91,2.43,3.06,1.32
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",3,2.88,2.88,2.38,2.42,3.12,2.62,2.25,2,2.21,2.62,2.39
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,3.38,3.62,3.25,3.62,4.03,3.88,3.75,3.25,3.85,4.21,4.2,3.31
43-2011.00,"Switchboard Operators, Including Answering Service",1.75,2.62,2.5,2.86,3.21,2.75,2.25,2.25,2.22,3.28,3.31,1.15
43-2021.00,Telephone Operators,2,2.88,2.88,3.4,3.4,3.25,2,2.62,3.75,3.27,5.34,3.66
43-3011.00,Bill and Account Collectors,2.62,3,3.12,3.5,4.22,3.5,2.75,2.88,1.78,3.37,2.98,2.07
43-3021.01,Statement Clerks,2.12,3.12,3,3.5,3.76,3.12,2.38,2.25,3.94,4.09,3.56,1.87
43-3021.02,"Billing, Cost, and Rate Clerks",2.12,3,3,3.19,3.53,3.12,2.88,2.88,2.18,3.66,3.94,1.25
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",1.75,3,3.25,3.37,3.53,3.25,3.12,2.88,2.29,3.9,4.08,2.75
43-3041.00,Gaming Cage Workers,1.5,3.25,3.12,2.54,2.96,3.25,2.25,2,2.37,2.9,3.47,1.22
43-3051.00,Payroll and Timekeeping Clerks,2.25,2.88,3,3.37,3.74,3.12,2.88,2.88,3.03,3.59,4.3,2.14
43-3061.00,Procurement Clerks,2.38,3.12,3.12,3.89,3.56,3.62,3.5,3,2.98,4.07,3.95,1.95
43-3071.00,Tellers,2.25,3.25,3.12,3.36,3.83,3.25,3,2.88,3.64,3.57,4.8,2.61
43-4011.00,Brokerage Clerks,2.38,3.12,3.12,3.37,4.39,3.62,3,2.88,2.28,3.25,3.7,1.95
43-4021.00,Correspondence Clerks,2.75,3.38,3.12,3.62,3.81,3.75,2.75,2.88,2.48,3.69,3.87,2.71
43-4031.01,Court Clerks,1,3.12,3,2.5,2.85,3.62,2.88,3,2.28,3.88,4.48,2.7
43-4031.02,Municipal Clerks,1.88,2.88,2.88,3.63,3.74,3.62,3.12,2.75,2.72,4.02,4.05,2.16
43-4031.03,License Clerks,2.12,2.88,3,3.08,3.66,3.12,3,2.38,1.4,2.89,3.88,1.39
43-4041.01,Credit Authorizers,2,3.5,3.5,3.72,3.74,3.5,3,3.25,2.23,3.35,4.45,2.72
43-4041.02,Credit Checkers,1.88,3.13,3.38,2.69,3.23,3.5,3,2.88,2.83,4.29,5.15,2.85
43-4051.00,Customer Service Representatives,2.75,3.12,3,3.02,3.61,3.25,2.88,3,3.3,4.41,4.69,2.28
43-4051.03,Patient Representatives,3.12,3.5,3.38,4.19,4.14,4,3.5,3,4.3,3.86,4.55,2.6
43-4061.00,"Eligibility Interviewers, Government Programs",2.75,3.5,3.75,3.11,3.56,3.75,3,3,2.48,3.66,4.53,2.04
43-4071.00,File Clerks,2.75,3,2.88,3.27,3.56,3,2.25,2.25,2.89,3.65,4.03,2.22
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",2.38,3,3,3.26,3.43,3.5,2.25,2.75,2.88,3.85,3.7,2.52
43-4111.00,"Interviewers, Except Eligibility and Loan",2.38,2.62,3,2.64,2.68,3.25,2.75,2.88,2.01,1.81,2.27,0.99
43-4121.00,"Library Assistants, Clerical",2,2.88,2.75,3.37,3.33,2.88,2.12,2.12,2.8,3.19,4.32,2.25
43-4131.00,Loan Interviewers and Clerks,2.75,3.38,3.5,3.16,3.51,4,3.5,3,2.19,4.72,4.64,2.91
43-4141.00,New Accounts Clerks,2.12,3.12,3,3.81,4.05,3.5,2.62,2.62,3.64,3.78,4.64,2.58
43-4151.00,Order Clerks,2,3,3,2.99,3.13,3.62,3,2.62,4.28,4.25,4.2,3.37
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",2.25,3.25,3,3.1,3.38,3.62,3.12,2.75,3.54,4.6,4.68,3.45
